key,year,title,download_target,retrieval_status,pdf_path,notes
double-debiased-machine-learning-nonparametric-inference-with-continuous,2020,Double Debiased Machine Learning Nonparametric Inference with Continuous Treatments,2004.03036,downloaded,downloads/arXiv 2004.03036.pdf,
estimating-individual-treatment-effects-through-causal-populations-ident,2020,Estimating Individual Treatment Effects through Causal Populations Identification,2004.05013,downloaded,downloads/arXiv 2004.05013.pdf,
on-deep-instrumental-variables-estimate,2020,On Deep Instrumental Variables Estimate,2004.14954,downloaded,downloads/arXiv 2004.14954.pdf,
counterfactual-propagation-for-semi-supervised-individual-treatment-effe,2020,Counterfactual Propagation for Semi-Supervised Individual Treatment Effect Estimation,2005.05099,downloaded,downloads/[2020] - Counterfactual Propagation for Semi-Supervised Individual Treatment Effect Estimation.pdf,
hi-ci-deep-causal-inference-in-high-dimensions,2020,Hi-CI: Deep Causal Inference in High Dimensions,2008.09858,downloaded,downloads/arXiv 2008.09858.pdf,
estimating-individual-treatment-effects-with-time-varying-confounders,2020,Estimating Individual Treatment Effects with Time-Varying Confounders,2008.13620,downloaded,downloads/arXiv 2008.13620.pdf,
causal-inference-of-general-treatment-effects-using-neural-networks-with,2020,Causal Inference of General Treatment Effects using Neural Networks with A Diverging Number of Confounders,2009.07055,downloaded,downloads/arXiv 2009.07055.pdf,
learning-deep-features-in-instrumental-variable-regression,2020,Learning Deep Features in Instrumental Variable Regression,2010.07154,downloaded,downloads/arXiv 2010.07154.pdf,
deep-learning-for-individual-heterogeneity,2020,Deep Learning for Individual Heterogeneity,2010.14694,downloaded,downloads/arXiv 2010.14694.pdf,
adapting-neural-networks-for-uplift-models,2020,Adapting Neural Networks for Uplift Models,2011.00041,downloaded,downloads/arXiv 2011.00041.pdf,
vcnet-and-functional-targeted-regularization-for-learning-causal-effects,2021,VCNet and Functional Targeted Regularization For Learning Causal Effects of Continuous Treatments,2103.07861,downloaded,downloads/arXiv 2103.07861.pdf,
automatic-debiased-machine-learning-via-riesz-regression,2021,Automatic Debiased Machine Learning via Riesz Regression,2104.14737,downloaded,downloads/arXiv 2104.14737.pdf,
a-twin-neural-model-for-uplift,2021,A Twin Neural Model for Uplift,2105.05146,downloaded,downloads/arXiv 2105.05146.pdf,
graph-infomax-adversarial-learning-for-treatment-effect-estimation-with-,2021,Graph Infomax Adversarial Learning for Treatment Effect Estimation with Networked Observational Data,2106.02881,downloaded,downloads/arXiv 2106.02881.pdf,
riesznet-and-forestriesz-automatic-debiased-machine-learning-with-neural,2021,RieszNet and ForestRiesz: Automatic Debiased Machine Learning with Neural Nets and Random Forests,2110.03031,downloaded,downloads/arXiv 2110.03031.pdf,
a-primer-on-deep-learning-for-causal-inference,2021,A Primer on Deep Learning for Causal Inference,2110.04442,downloaded,downloads/arXiv 2110.04442.pdf,
survite-learning-heterogeneous-treatment-effects-from-time-to-event-data,2021,SurvITE: Learning Heterogeneous Treatment Effects from Time-to-Event Data,2110.14001,downloaded,downloads/arXiv 2110.14001.pdf,
deep-learning-for-counterfactual-inference-and-treatment-effect-estimati,2022,Deep Learning for Counterfactual Inference and Treatment Effect Estimation,10.1201/9781003028543-7,missing,,
bites-balanced-individual-treatment-effect-for-survival-data,2022,BITES: Balanced Individual Treatment Effect for Survival data,2201.03448,downloaded,downloads/arXiv 2201.03448.pdf,
individual-treatment-effect-estimation-through-controlled-neural-network,2022,Individual Treatment Effect Estimation Through Controlled Neural Network Training in Two Stages,2201.08559,downloaded,downloads/arXiv 2201.08559.pdf,
survcaus-representation-balancing-for-survival-causal-inference,2022,SurvCaus : Representation Balancing for Survival Causal Inference,2203.15672,downloaded,downloads/arXiv 2203.15672.pdf,
causal-transformer-for-estimating-counterfactual-outcomes,2022,Causal Transformer for Estimating Counterfactual Outcomes,2204.07258,downloaded,downloads/arXiv 2204.07258.pdf,
scalable-sensitivity-and-uncertainty-analysis-for-causal-effect-estimate,2022,Scalable Sensitivity and Uncertainty Analysis for Causal-Effect Estimates of Continuous-Valued Interventions,2204.10022,downloaded,downloads/arXiv 2204.10022.pdf,
adversarial-estimators,2022,Adversarial Estimators,2204.10495,downloaded,downloads/arXiv 2204.10495.pdf,
learning-disentangled-representations-for-counterfactual-regression-via-,2022,Learning Disentangled Representations for Counterfactual Regression via Mutual Information Minimization,2206.01022,downloaded,downloads/arXiv 2206.01022.pdf,
estimating-counterfactual-treatment-outcomes-over-time-in-complex-multia,2022,Estimating counterfactual treatment outcomes over time in complex multiagent scenarios,2206.01900,downloaded,downloads/arXiv 2206.01900.pdf,
interpretable-deep-causal-learning-for-moderation-effects,2022,Interpretable Deep Causal Learning for Moderation Effects,2206.10261,downloaded,downloads/arXiv 2206.10261.pdf,
learning-causal-effects-on-hypergraphs,2022,Learning Causal Effects on Hypergraphs,2207.04049,downloaded,downloads/arXiv 2207.04049.pdf,
descn-deep-entire-space-cross-networks-for-individual-treatment-effect-e,2022,DESCN: Deep Entire Space Cross Networks for Individual Treatment Effect Estimation,2207.09920,downloaded,downloads/arXiv 2207.09920.pdf,
variational-temporal-deconfounder-for-individualized-treatment-effect-es,2022,Variational Temporal Deconfounder for Individualized Treatment Effect Estimation from Longitudinal Observational Data,2207.11251,downloaded,downloads/arXiv 2207.11251.pdf,
review-of-deep-learning-methods-for-individual-treatment-effect-estimati,2022,Review of Deep Learning Methods for Individual Treatment Effect Estimation with Automatic Hyperparameter Optimization,10.36227/techrxiv.20448768,missing,,
estimating-individual-treatment-effects-under-unobserved-confounding-usi,2022,Estimating individual treatment effects under unobserved confounding using binary instruments,2208.08544,downloaded,downloads/arXiv 2208.08544.pdf,
dr-vidal-doubly-robust-variational-information-theoretic-deep-adversaria,2023,DR-VIDAL -- Doubly Robust Variational Information-theoretic Deep Adversarial Learning for Counterfactual Prediction and Treatment Effect Estimation on Real World Data,2303.04201,downloaded,downloads/arXiv 2303.04201.pdf,
dynamic-inter-treatment-information-sharing-for-individualized-treatment,2023,Dynamic Inter-treatment Information Sharing for Individualized Treatment Effects Estimation,2305.15984,downloaded,downloads/arXiv 2305.15984.pdf,
reliable-off-policy-learning-for-dosage-combinations,2023,Reliable Off-Policy Learning for Dosage Combinations,2305.19742,downloaded,downloads/arXiv 2305.19742.pdf,
assisting-clinical-decisions-for-scarcely-available-treatment-via-disent,2023,Assisting Clinical Decisions for Scarcely Available Treatment via Disentangled Latent Representation,2307.03315,downloaded,downloads/arXiv 2307.03315.pdf,
estimating-treatment-effects-under-heterogeneous-interference,2023,Estimating Treatment Effects Under Heterogeneous Interference,2309.13884,downloaded,downloads/arXiv 2309.13884.pdf,
causal-dynamic-variational-autoencoder-for-counterfactual-regression-in-,2023,Causal Dynamic Variational Autoencoder for Counterfactual Regression in Longitudinal Data,2310.10559,downloaded,downloads/arXiv 2310.10559.pdf,
uplift-modeling-based-on-graph-neural-network-combined-with-causal-knowl,2023,Uplift Modeling based on Graph Neural Network Combined with Causal Knowledge,2311.08434,downloaded,downloads/arXiv 2311.08434.pdf,
adversarially-balanced-representation-for-continuous-treatment-effect-es,2023,Adversarially Balanced Representation for Continuous Treatment Effect Estimation,2312.10570,downloaded,downloads/arXiv 2312.10570.pdf,
treatment-aware-hyperbolic-representation-learning-for-causal-effect-est,2024,Treatment-Aware Hyperbolic Representation Learning for Causal Effect Estimation with Social Networks,2401.06557,downloaded,downloads/arXiv 2401.06557.pdf,
causal-graph-ode-continuous-treatment-effect-modeling-in-multi-agent-dyn,2024,Causal Graph ODE: Continuous Treatment Effect Modeling in Multi-agent Dynamical Systems,2403.00178,downloaded,downloads/arXiv 2403.00178.pdf,
regularized-deepiv-with-model-selection,2024,Regularized DeepIV with Model Selection,2403.04236,downloaded,downloads/arXiv 2403.04236.pdf,
graph-neural-network-with-two-uplift-estimators-for-label-scarcity-indiv,2024,Graph Neural Network with Two Uplift Estimators for Label-Scarcity Individual Uplift Modeling,2403.06489,downloaded,downloads/arXiv 2403.06489.pdf,
longitudinal-targeted-minimum-loss-based-estimation-with-temporal-differ,2024,Longitudinal Targeted Minimum Loss-based Estimation with Temporal-Difference Heterogeneous Transformer,2404.04399,downloaded,downloads/arXiv 2404.04399.pdf,
deep-learning-for-causal-inference-a-comparison-of-architectures-for-het,2024,Deep Learning for Causal Inference: A Comparison of Architectures for Heterogeneous Treatment Effect Estimation,2405.03130,downloaded,downloads/arXiv 2405.03130.pdf,
c-learner-constrained-learning-for-causal-inference,2024,C-Learner: Constrained Learning for Causal Inference,2405.09493,downloaded,downloads/arXiv 2405.09493.pdf,
revisiting-counterfactual-regression-through-the-lens-of-gromov-wasserst,2024,Revisiting Counterfactual Regression through the Lens of Gromov-Wasserstein Information Bottleneck,2405.15505,downloaded,downloads/arXiv 2405.15505.pdf,
causal-contrastive-learning-for-counterfactual-regression-over-time,2024,Causal Contrastive Learning for Counterfactual Regression Over Time,2406.00535,downloaded,downloads/arXiv 2406.00535.pdf,
dna-se-towards-deep-neural-nets-assisted-semiparametric-estimation,2024,DNA-SE: Towards Deep Neural-Nets Assisted Semiparametric Estimation,2408.02045,downloaded,downloads/arXiv 2408.02045.pdf,
generalized-encouragement-based-instrumental-variables-for-counterfactua,2024,Generalized Encouragement-Based Instrumental Variables for Counterfactual Regression,2408.05428,downloaded,downloads/arXiv 2408.05428.pdf,
deep-learning-for-the-estimation-of-heterogeneous-parameters-in-discrete,2024,Deep Learning for the Estimation of Heterogeneous Parameters in Discrete Choice Models,2408.09560,downloaded,downloads/arXiv 2408.09560.pdf,
automatic-debiasing-of-neural-networks-via-moment-constrained-learning,2024,Automatic debiasing of neural networks via moment-constrained learning,2409.19777,downloaded,downloads/arXiv 2409.19777.pdf,
individualized-treatment-rules-based-on-adaptive-transfer-dragonnet,2025,Individualized treatment rules based on adaptive transfer-dragonnet,10.1007/s11222-025-10704-9,missing,,
semiparametric-counterfactual-regression,2025,Semiparametric Counterfactual Regression,2504.02694,downloaded,downloads/arXiv 2504.02694.pdf,
semiparametric-m-estimation-with-overparameterized-neural-networks,2025,Semiparametric M-estimation with overparameterized neural networks,2504.19089,downloaded,downloads/arXiv 2504.19089.pdf,
extended-fiducial-inference-for-individual-treatment-effects-via-deep-ne,2025,Extended Fiducial Inference for Individual Treatment Effects via Deep Neural Networks,2505.01995,downloaded,downloads/arXiv 2505.01995.pdf,
treatment-effect-estimation-in-survival-analysis-using-copula-based-deep,2025,Treatment Effect Estimation in Survival Analysis Using Copula-Based Deep Learning Models for Causal Inference,10.3390/axioms14060458,missing,,
orthogonality-constrained-deep-instrumental-variable-model-for-causal-ef,2025,Orthogonality-Constrained Deep Instrumental Variable Model for Causal Effect Estimation,2506.02790,downloaded,downloads/arXiv 2506.02790.pdf,
targeted-deep-architectures-a-tmle-based-framework-for-robust-causal-inf,2025,Targeted Deep Architectures: A TMLE-Based Framework for Robust Causal Inference in Neural Networks,2507.12435,downloaded,downloads/arXiv 2507.12435.pdf,
causalkans-interpretable-treatment-effect-estimation-with-kolmogorov-arn,2025,CausalKANs: interpretable treatment effect estimation with Kolmogorov-Arnold networks,2509.22467,downloaded,downloads/arXiv 2509.22467.pdf,
gdr-learners-orthogonal-learning-of-generative-models-for-potential-outc,2025,GDR-learners: Orthogonal Learning of Generative Models for Potential Outcomes,2509.22953,downloaded,downloads/arXiv 2509.22953.pdf,
deep-learning-based-causal-inference-for-large-scale-combinatorial-exper,2025,Deep Learning-Based Causal Inference for Large-Scale Combinatorial Experiments: Theory and Empirical Evidence,10.2139/ssrn.4375327,missing,,Published DOI is 10.1287/mnsc.2024.04625; SSRN DOI is used as the first public retrieval route.
individualized-treatment-effect-estimation-with-compromised-adversarial-,2026,Individualized treatment effect estimation with compromised adversarial nets,10.1007/s00180-025-01705-3,missing,,Crossref returned publication year 2026; no precise date was available in the quick query.
estimating-heterogeneous-treatment-effects-with-survival-outcomes-via-a-,2026,Estimating heterogeneous treatment effects with survival outcomes via a deep survival learner,2604.10398,downloaded,downloads/arXiv 2604.10398.pdf,
causal-epinets-precision-corrected-bounds-on-individual-treatment-effect,2026,Causal EpiNets: Precision-corrected Bounds on Individual Treatment Effects using Epistemic Neural Networks,2605.07065,downloaded,downloads/arXiv 2605.07065.pdf,
balanced-twins-causal-inference-on-time-series-with-hidden-confounding,2026,Balanced Twins: Causal Inference on Time Series with Hidden Confounding,2606.18969,downloaded,downloads/arXiv 2606.18969.pdf,
