key,year,title,arxiv_id,doi,pdf_path,markdown_path,tex_dir,tex_file_count,source_file_count,retrieval_status,tags
perfect-match-a-simple-method-for-learning-representations-for-counterfa,2018,Perfect Match: A Simple Method for Learning Representations For Counterfactual Inference With Neural Networks,1810.00656,,downloads/arXiv 1810.00656.pdf,markdown_docling/arXiv 1810.00656.md,tex_sources/extracted/1810.00656,1,3,downloaded,ite; matching; representation; neural
heterogeneous-treatment-effect-estimation-through-deep-learning,2018,Heterogeneous Treatment Effect Estimation through Deep Learning,1810.11010,,downloads/arXiv 1810.11010.pdf,markdown_docling/arXiv 1810.11010.md,tex_sources/extracted/1810.11010,1,1,downloaded,hte; ite; neural
orthogonal-statistical-learning,2019,Orthogonal Statistical Learning,1901.09036,,downloads/arXiv 1901.09036.pdf,markdown_docling/arXiv 1901.09036.md,tex_sources/extracted/1901.09036,1,3,downloaded,orthogonal-learning; semiparametric; local-reference
time-series-deconfounder-estimating-treatment-effects-over-time-in-the-p,2019,Time Series Deconfounder: Estimating Treatment Effects over Time in the Presence of Hidden Confounders,1902.00450,,downloads/arXiv 1902.00450.pdf,markdown_docling/arXiv 1902.00450.md,tex_sources/extracted/1902.00450,2,16,downloaded,longitudinal; deconfounder; time-series; hidden-confounding
deep-generalized-method-of-moments-for-instrumental-variable-analysis,2019,Deep Generalized Method of Moments for Instrumental Variable Analysis,1905.12495,,downloads/arXiv 1905.12495.pdf,markdown_docling/arXiv 1905.12495.md,tex_sources/extracted/1905.12495,1,4,downloaded,iv; gmm; deepgmm
adapting-neural-networks-for-the-estimation-of-treatment-effects,2019,Adapting Neural Networks for the Estimation of Treatment Effects,1906.02120,,downloads/arXiv 1906.02120.pdf,markdown_docling/arXiv 1906.02120.md,tex_sources/extracted/1906.02120,7,13,downloaded,ite; dragonnet; targeted-regularization
learning-overlapping-representations-for-the-estimation-of-individualize,2020,Learning Overlapping Representations for the Estimation of Individualized Treatment Effects,2001.04754,,downloads/arXiv 2001.04754.pdf,markdown_docling/arXiv 2001.04754.md,tex_sources/extracted/2001.04754,1,6,downloaded,ite; overlap; representation
treatment-effect-estimation-with-disentangled-latent-factors,2020,Treatment effect estimation with disentangled latent factors,2001.10652,,downloads/arXiv 2001.10652.pdf,markdown_docling/arXiv 2001.10652.md,tex_sources/extracted/2001.10652,1,5,downloaded,ite; disentanglement; latent-factors
estimating-counterfactual-treatment-outcomes-over-time-through-adversari,2020,Estimating Counterfactual Treatment Outcomes over Time Through Adversarially Balanced Representations,2002.04083,,downloads/arXiv 2002.04083.pdf,markdown_docling/arXiv 2002.04083.md,tex_sources/extracted/2002.04083,4,16,downloaded,longitudinal; counterfactual-outcomes; adversarial; representation
double-debiased-machine-learning-nonparametric-inference-with-continuous,2020,Double Debiased Machine Learning Nonparametric Inference with Continuous Treatments,2004.03036,,downloads/arXiv 2004.03036.pdf,markdown_docling/arXiv 2004.03036.md,tex_sources/extracted/2004.03036,1,3,downloaded,continuous-treatment; dml; semiparametric; local-reference
estimating-individual-treatment-effects-through-causal-populations-ident,2020,Estimating Individual Treatment Effects through Causal Populations Identification,2004.05013,,downloads/arXiv 2004.05013.pdf,markdown_docling/arXiv 2004.05013.md,tex_sources/extracted/2004.05013,8,10,downloaded,ite; causal-populations
on-deep-instrumental-variables-estimate,2020,On Deep Instrumental Variables Estimate,2004.14954,,downloads/arXiv 2004.14954.pdf,markdown_docling/arXiv 2004.14954.md,tex_sources/extracted/2004.14954,1,5,downloaded,iv; deepiv; theory
counterfactual-propagation-for-semi-supervised-individual-treatment-effe,2020,Counterfactual Propagation for Semi-Supervised Individual Treatment Effect Estimation,2005.05099,10.1007/978-3-030-67658-2_31,downloads/[2020] - Counterfactual Propagation for Semi-Supervised Individual Treatment Effect Estimation.pdf,markdown_docling/[2020] - Counterfactual Propagation for Semi-Supervised Individual Treatment Effect Estimation.md,tex_sources/extracted/2005.05099,14,26,downloaded,ite; semi-supervised; counterfactual
hi-ci-deep-causal-inference-in-high-dimensions,2020,Hi-CI: Deep Causal Inference in High Dimensions,2008.09858,,downloads/arXiv 2008.09858.pdf,markdown_docling/arXiv 2008.09858.md,tex_sources/extracted/2008.09858,1,4,downloaded,ite; high-dimensional; deep-learning
estimating-individual-treatment-effects-with-time-varying-confounders,2020,Estimating Individual Treatment Effects with Time-Varying Confounders,2008.13620,,downloads/arXiv 2008.13620.pdf,markdown_docling/arXiv 2008.13620.md,tex_sources/extracted/2008.13620,8,10,downloaded,ite; longitudinal; time-varying-confounding
causal-inference-of-general-treatment-effects-using-neural-networks-with,2020,Causal Inference of General Treatment Effects using Neural Networks with A Diverging Number of Confounders,2009.07055,,downloads/arXiv 2009.07055.pdf,markdown_docling/arXiv 2009.07055.md,tex_sources/extracted/2009.07055,1,6,downloaded,general-treatment-effects; neural-networks; high-dimensional; local-reference
learning-deep-features-in-instrumental-variable-regression,2020,Learning Deep Features in Instrumental Variable Regression,2010.07154,,downloads/arXiv 2010.07154.pdf,markdown_docling/arXiv 2010.07154.md,tex_sources/extracted/2010.07154,53,58,downloaded,iv; dfiv; representation
deep-learning-for-individual-heterogeneity,2020,Deep Learning for Individual Heterogeneity,2010.14694,10.47004/wp.cem.2021.2921,downloads/arXiv 2010.14694.pdf,markdown_docling/arXiv 2010.14694.md,tex_sources/extracted/2010.14694,4,5,downloaded,individual-heterogeneity; deep-inference; local-reference
adapting-neural-networks-for-uplift-models,2020,Adapting Neural Networks for Uplift Models,2011.00041,,downloads/arXiv 2011.00041.pdf,markdown_docling/arXiv 2011.00041.md,tex_sources/extracted/2011.00041,8,15,downloaded,uplift; neural; ite
vcnet-and-functional-targeted-regularization-for-learning-causal-effects,2021,VCNet and Functional Targeted Regularization For Learning Causal Effects of Continuous Treatments,2103.07861,,downloads/arXiv 2103.07861.pdf,markdown_docling/arXiv 2103.07861.md,tex_sources/extracted/2103.07861,7,12,downloaded,continuous-treatment; vcnet; targeted-regularization
automatic-debiased-machine-learning-via-riesz-regression,2021,Automatic Debiased Machine Learning via Riesz Regression,2104.14737,,downloads/arXiv 2104.14737.pdf,markdown_docling/arXiv 2104.14737.md,tex_sources/extracted/2104.14737,41,48,downloaded,auto-dml; riesz; semiparametric; local-reference
a-twin-neural-model-for-uplift,2021,A Twin Neural Model for Uplift,2105.05146,,downloads/arXiv 2105.05146.pdf,markdown_docling/arXiv 2105.05146.md,tex_sources/extracted/2105.05146,25,29,downloaded,uplift; neural; ite
graph-infomax-adversarial-learning-for-treatment-effect-estimation-with-,2021,Graph Infomax Adversarial Learning for Treatment Effect Estimation with Networked Observational Data,2106.02881,10.1145/3447548.3467302,downloads/arXiv 2106.02881.pdf,markdown_docling/arXiv 2106.02881.md,tex_sources/extracted/2106.02881,1,3,downloaded,network; graph-neural; adversarial; ite
riesznet-and-forestriesz-automatic-debiased-machine-learning-with-neural,2021,RieszNet and ForestRiesz: Automatic Debiased Machine Learning with Neural Nets and Random Forests,2110.03031,,downloads/arXiv 2110.03031.pdf,markdown_docling/arXiv 2110.03031.md,tex_sources/extracted/2110.03031,15,22,downloaded,riesznet; auto-dml; neural-networks; local-reference
a-primer-on-deep-learning-for-causal-inference,2021,A Primer on Deep Learning for Causal Inference,2110.04442,,downloads/arXiv 2110.04442.pdf,markdown_docling/arXiv 2110.04442.md,tex_sources/extracted/2110.04442,14,18,downloaded,survey; deep-learning; causal-inference
survite-learning-heterogeneous-treatment-effects-from-time-to-event-data,2021,SurvITE: Learning Heterogeneous Treatment Effects from Time-to-Event Data,2110.14001,,downloads/arXiv 2110.14001.pdf,markdown_docling/arXiv 2110.14001.md,tex_sources/extracted/2110.14001,1,5,downloaded,survival; hte; time-to-event; neural
deep-learning-for-counterfactual-inference-and-treatment-effect-estimati,2022,Deep Learning for Counterfactual Inference and Treatment Effect Estimation,,10.1201/9781003028543-7,,,,0,0,missing,book-chapter; counterfactual-inference; treatment-effects
bites-balanced-individual-treatment-effect-for-survival-data,2022,BITES: Balanced Individual Treatment Effect for Survival data,2201.03448,,downloads/arXiv 2201.03448.pdf,markdown_docling/arXiv 2201.03448.md,tex_sources/extracted/2201.03448,4,6,downloaded,survival; ite; representation
individual-treatment-effect-estimation-through-controlled-neural-network,2022,Individual Treatment Effect Estimation Through Controlled Neural Network Training in Two Stages,2201.08559,,downloads/arXiv 2201.08559.pdf,markdown_docling/arXiv 2201.08559.md,tex_sources/extracted/2201.08559,1,2,downloaded,ite; neural-training
survcaus-representation-balancing-for-survival-causal-inference,2022,SurvCaus : Representation Balancing for Survival Causal Inference,2203.15672,,downloads/arXiv 2203.15672.pdf,markdown_docling/arXiv 2203.15672.md,tex_sources/extracted/2203.15672,2,6,downloaded,survival; representation; causal-inference
causal-transformer-for-estimating-counterfactual-outcomes,2022,Causal Transformer for Estimating Counterfactual Outcomes,2204.07258,,downloads/arXiv 2204.07258.pdf,markdown_docling/arXiv 2204.07258.md,tex_sources/extracted/2204.07258,8,15,downloaded,longitudinal; transformer; counterfactual-outcomes
scalable-sensitivity-and-uncertainty-analysis-for-causal-effect-estimate,2022,Scalable Sensitivity and Uncertainty Analysis for Causal-Effect Estimates of Continuous-Valued Interventions,2204.10022,,downloads/arXiv 2204.10022.pdf,markdown_docling/arXiv 2204.10022.md,tex_sources/extracted/2204.10022,29,36,downloaded,continuous-treatment; uncertainty; sensitivity
adversarial-estimators,2022,Adversarial Estimators,2204.10495,,downloads/arXiv 2204.10495.pdf,markdown_docling/arXiv 2204.10495.md,tex_sources/extracted/2204.10495,1,3,downloaded,adversarial; semiparametric; local-reference
learning-disentangled-representations-for-counterfactual-regression-via-,2022,Learning Disentangled Representations for Counterfactual Regression via Mutual Information Minimization,2206.01022,,downloads/arXiv 2206.01022.pdf,markdown_docling/arXiv 2206.01022.md,tex_sources/extracted/2206.01022,1,2,downloaded,counterfactual-regression; disentanglement; representation
estimating-counterfactual-treatment-outcomes-over-time-in-complex-multia,2022,Estimating counterfactual treatment outcomes over time in complex multiagent scenarios,2206.01900,,downloads/arXiv 2206.01900.pdf,markdown_docling/arXiv 2206.01900.md,tex_sources/extracted/2206.01900,2,3,downloaded,longitudinal; multiagent; counterfactual-outcomes
interpretable-deep-causal-learning-for-moderation-effects,2022,Interpretable Deep Causal Learning for Moderation Effects,2206.10261,,downloads/arXiv 2206.10261.pdf,markdown_docling/arXiv 2206.10261.md,tex_sources/extracted/2206.10261,6,20,downloaded,moderation-effects; interpretable; neural
learning-causal-effects-on-hypergraphs,2022,Learning Causal Effects on Hypergraphs,2207.04049,,downloads/arXiv 2207.04049.pdf,markdown_docling/arXiv 2207.04049.md,tex_sources/extracted/2207.04049,10,15,downloaded,hypergraph; network; causal-effects
descn-deep-entire-space-cross-networks-for-individual-treatment-effect-e,2022,DESCN: Deep Entire Space Cross Networks for Individual Treatment Effect Estimation,2207.09920,,downloads/arXiv 2207.09920.pdf,markdown_docling/arXiv 2207.09920.md,tex_sources/extracted/2207.09920,1,5,downloaded,ite; descn; cross-network
variational-temporal-deconfounder-for-individualized-treatment-effect-es,2022,Variational Temporal Deconfounder for Individualized Treatment Effect Estimation from Longitudinal Observational Data,2207.11251,,downloads/arXiv 2207.11251.pdf,markdown_docling/arXiv 2207.11251.md,tex_sources/extracted/2207.11251,0,0,downloaded,longitudinal; deconfounder; variational; ite
review-of-deep-learning-methods-for-individual-treatment-effect-estimati,2022,Review of Deep Learning Methods for Individual Treatment Effect Estimation with Automatic Hyperparameter Optimization,,10.36227/techrxiv.20448768,,,,0,0,missing,review; ite; hyperparameter-optimization
estimating-individual-treatment-effects-under-unobserved-confounding-usi,2022,Estimating individual treatment effects under unobserved confounding using binary instruments,2208.08544,,downloads/arXiv 2208.08544.pdf,markdown_docling/arXiv 2208.08544.md,tex_sources/extracted/2208.08544,1,8,downloaded,iv; ite; unobserved-confounding
dr-vidal-doubly-robust-variational-information-theoretic-deep-adversaria,2023,DR-VIDAL -- Doubly Robust Variational Information-theoretic Deep Adversarial Learning for Counterfactual Prediction and Treatment Effect Estimation on Real World Data,2303.04201,,downloads/arXiv 2303.04201.pdf,markdown_docling/arXiv 2303.04201.md,tex_sources/extracted/2303.04201,1,4,downloaded,ite; doubly-robust; variational; adversarial
dynamic-inter-treatment-information-sharing-for-individualized-treatment,2023,Dynamic Inter-treatment Information Sharing for Individualized Treatment Effects Estimation,2305.15984,,downloads/arXiv 2305.15984.pdf,markdown_docling/arXiv 2305.15984.md,tex_sources/extracted/2305.15984,1,2,downloaded,ite; multiple-treatments; information-sharing
reliable-off-policy-learning-for-dosage-combinations,2023,Reliable Off-Policy Learning for Dosage Combinations,2305.19742,,downloads/arXiv 2305.19742.pdf,markdown_docling/arXiv 2305.19742.md,tex_sources/extracted/2305.19742,2,5,downloaded,dosage; off-policy; continuous-treatment
assisting-clinical-decisions-for-scarcely-available-treatment-via-disent,2023,Assisting Clinical Decisions for Scarcely Available Treatment via Disentangled Latent Representation,2307.03315,,downloads/arXiv 2307.03315.pdf,markdown_docling/arXiv 2307.03315.md,tex_sources/extracted/2307.03315,23,27,downloaded,ite; clinical; scarce-treatment; disentanglement
estimating-treatment-effects-under-heterogeneous-interference,2023,Estimating Treatment Effects Under Heterogeneous Interference,2309.13884,,downloads/arXiv 2309.13884.pdf,markdown_docling/arXiv 2309.13884.md,tex_sources/extracted/2309.13884,1,4,downloaded,interference; network; treatment-effects
causal-dynamic-variational-autoencoder-for-counterfactual-regression-in-,2023,Causal Dynamic Variational Autoencoder for Counterfactual Regression in Longitudinal Data,2310.10559,,downloads/arXiv 2310.10559.pdf,markdown_docling/arXiv 2310.10559.md,tex_sources/extracted/2310.10559,2,6,downloaded,longitudinal; vae; counterfactual-regression
uplift-modeling-based-on-graph-neural-network-combined-with-causal-knowl,2023,Uplift Modeling based on Graph Neural Network Combined with Causal Knowledge,2311.08434,,downloads/arXiv 2311.08434.pdf,markdown_docling/arXiv 2311.08434.md,tex_sources/extracted/2311.08434,1,4,downloaded,uplift; graph-neural; causal-knowledge
adversarially-balanced-representation-for-continuous-treatment-effect-es,2023,Adversarially Balanced Representation for Continuous Treatment Effect Estimation,2312.10570,,downloads/arXiv 2312.10570.pdf,markdown_docling/arXiv 2312.10570.md,tex_sources/extracted/2312.10570,1,5,downloaded,continuous-treatment; adversarial; representation
treatment-aware-hyperbolic-representation-learning-for-causal-effect-est,2024,Treatment-Aware Hyperbolic Representation Learning for Causal Effect Estimation with Social Networks,2401.06557,,downloads/arXiv 2401.06557.pdf,markdown_docling/arXiv 2401.06557.md,tex_sources/extracted/2401.06557,1,6,downloaded,social-network; hyperbolic; representation; treatment-effects
causal-graph-ode-continuous-treatment-effect-modeling-in-multi-agent-dyn,2024,Causal Graph ODE: Continuous Treatment Effect Modeling in Multi-agent Dynamical Systems,2403.00178,,downloads/arXiv 2403.00178.pdf,markdown_docling/arXiv 2403.00178.md,tex_sources/extracted/2403.00178,8,11,downloaded,continuous-treatment; graph-ode; multiagent
regularized-deepiv-with-model-selection,2024,Regularized DeepIV with Model Selection,2403.04236,,downloads/arXiv 2403.04236.pdf,markdown_docling/arXiv 2403.04236.md,tex_sources/extracted/2403.04236,12,23,downloaded,iv; deepiv; model-selection
graph-neural-network-with-two-uplift-estimators-for-label-scarcity-indiv,2024,Graph Neural Network with Two Uplift Estimators for Label-Scarcity Individual Uplift Modeling,2403.06489,,downloads/arXiv 2403.06489.pdf,markdown_docling/arXiv 2403.06489.md,tex_sources/extracted/2403.06489,7,9,downloaded,uplift; graph-neural; label-scarcity
longitudinal-targeted-minimum-loss-based-estimation-with-temporal-differ,2024,Longitudinal Targeted Minimum Loss-based Estimation with Temporal-Difference Heterogeneous Transformer,2404.04399,,downloads/arXiv 2404.04399.pdf,markdown_docling/arXiv 2404.04399.md,tex_sources/extracted/2404.04399,1,8,downloaded,longitudinal; tmle; transformer; local-reference
deep-learning-for-causal-inference-a-comparison-of-architectures-for-het,2024,Deep Learning for Causal Inference: A Comparison of Architectures for Heterogeneous Treatment Effect Estimation,2405.03130,,downloads/arXiv 2405.03130.pdf,markdown_docling/arXiv 2405.03130.md,tex_sources/extracted/2405.03130,1,2,downloaded,survey; hte; architecture-comparison
c-learner-constrained-learning-for-causal-inference,2024,C-Learner: Constrained Learning for Causal Inference,2405.09493,,downloads/arXiv 2405.09493.pdf,markdown_docling/arXiv 2405.09493.md,tex_sources/extracted/2405.09493,27,35,downloaded,c-learner; constrained-learning; semiparametric; local-reference
revisiting-counterfactual-regression-through-the-lens-of-gromov-wasserst,2024,Revisiting Counterfactual Regression through the Lens of Gromov-Wasserstein Information Bottleneck,2405.15505,,downloads/arXiv 2405.15505.pdf,markdown_docling/arXiv 2405.15505.md,tex_sources/extracted/2405.15505,1,5,downloaded,counterfactual-regression; information-bottleneck; wasserstein
causal-contrastive-learning-for-counterfactual-regression-over-time,2024,Causal Contrastive Learning for Counterfactual Regression Over Time,2406.00535,,downloads/arXiv 2406.00535.pdf,markdown_docling/arXiv 2406.00535.md,tex_sources/extracted/2406.00535,2,8,downloaded,longitudinal; contrastive-learning; counterfactual-regression
dna-se-towards-deep-neural-nets-assisted-semiparametric-estimation,2024,DNA-SE: Towards Deep Neural-Nets Assisted Semiparametric Estimation,2408.02045,,downloads/arXiv 2408.02045.pdf,markdown_docling/arXiv 2408.02045.md,tex_sources/extracted/2408.02045,4,12,downloaded,semiparametric; deep-inference; neural-networks; local-reference
generalized-encouragement-based-instrumental-variables-for-counterfactua,2024,Generalized Encouragement-Based Instrumental Variables for Counterfactual Regression,2408.05428,,downloads/arXiv 2408.05428.pdf,markdown_docling/arXiv 2408.05428.md,tex_sources/extracted/2408.05428,1,1,downloaded,iv; encouragement; counterfactual-regression
deep-learning-for-the-estimation-of-heterogeneous-parameters-in-discrete,2024,Deep Learning for the Estimation of Heterogeneous Parameters in Discrete Choice Models,2408.09560,,downloads/arXiv 2408.09560.pdf,markdown_docling/arXiv 2408.09560.md,tex_sources/extracted/2408.09560,1,45,downloaded,heterogeneous-parameters; discrete-choice; local-reference
automatic-debiasing-of-neural-networks-via-moment-constrained-learning,2024,Automatic debiasing of neural networks via moment-constrained learning,2409.19777,,downloads/arXiv 2409.19777.pdf,markdown_docling/arXiv 2409.19777.md,tex_sources/extracted/2409.19777,3,4,downloaded,auto-dml; moment-constrained-learning; neural-networks; local-reference
individualized-treatment-rules-based-on-adaptive-transfer-dragonnet,2025,Individualized treatment rules based on adaptive transfer-dragonnet,,10.1007/s11222-025-10704-9,,,,0,0,missing,ite; dragonnet; transfer-learning
semiparametric-counterfactual-regression,2025,Semiparametric Counterfactual Regression,2504.02694,,downloads/arXiv 2504.02694.pdf,markdown_docling/arXiv 2504.02694.md,tex_sources/extracted/2504.02694,3,6,downloaded,counterfactual-regression; semiparametric
semiparametric-m-estimation-with-overparameterized-neural-networks,2025,Semiparametric M-estimation with overparameterized neural networks,2504.19089,,downloads/arXiv 2504.19089.pdf,markdown_docling/arXiv 2504.19089.md,tex_sources/extracted/2504.19089,3,5,downloaded,semiparametric; overparameterized; neural-networks; local-reference
extended-fiducial-inference-for-individual-treatment-effects-via-deep-ne,2025,Extended Fiducial Inference for Individual Treatment Effects via Deep Neural Networks,2505.01995,,downloads/arXiv 2505.01995.pdf,markdown_docling/arXiv 2505.01995.md,tex_sources/extracted/2505.01995,1,5,downloaded,ite; fiducial-inference; neural-networks
treatment-effect-estimation-in-survival-analysis-using-copula-based-deep,2025,Treatment Effect Estimation in Survival Analysis Using Copula-Based Deep Learning Models for Causal Inference,,10.3390/axioms14060458,,,,0,0,missing,survival; copula; deep-learning; causal-inference
orthogonality-constrained-deep-instrumental-variable-model-for-causal-ef,2025,Orthogonality-Constrained Deep Instrumental Variable Model for Causal Effect Estimation,2506.02790,,downloads/arXiv 2506.02790.pdf,markdown_docling/arXiv 2506.02790.md,tex_sources/extracted/2506.02790,0,0,downloaded,iv; orthogonality; deepiv
targeted-deep-architectures-a-tmle-based-framework-for-robust-causal-inf,2025,Targeted Deep Architectures: A TMLE-Based Framework for Robust Causal Inference in Neural Networks,2507.12435,,downloads/arXiv 2507.12435.pdf,markdown_docling/arXiv 2507.12435.md,tex_sources/extracted/2507.12435,1,3,downloaded,tmle; targeted-deep-architecture; neural-networks; local-reference
causalkans-interpretable-treatment-effect-estimation-with-kolmogorov-arn,2025,CausalKANs: interpretable treatment effect estimation with Kolmogorov-Arnold networks,2509.22467,,downloads/arXiv 2509.22467.pdf,markdown_docling/arXiv 2509.22467.md,tex_sources/extracted/2509.22467,15,18,downloaded,ite; kan; interpretable
gdr-learners-orthogonal-learning-of-generative-models-for-potential-outc,2025,GDR-learners: Orthogonal Learning of Generative Models for Potential Outcomes,2509.22953,,downloads/arXiv 2509.22953.pdf,markdown_docling/arXiv 2509.22953.md,tex_sources/extracted/2509.22953,9,14,downloaded,potential-outcomes; generative-model; orthogonal-learning; local-reference
deep-learning-based-causal-inference-for-large-scale-combinatorial-exper,2025,Deep Learning-Based Causal Inference for Large-Scale Combinatorial Experiments: Theory and Empirical Evidence,,10.1287/mnsc.2024.04625,,,,0,0,missing,combinatorial-experiments; causal-inference; deep-learning; local-reference
individualized-treatment-effect-estimation-with-compromised-adversarial-,2026,Individualized treatment effect estimation with compromised adversarial nets,,10.1007/s00180-025-01705-3,,,,0,0,missing,ite; adversarial; gan
estimating-heterogeneous-treatment-effects-with-survival-outcomes-via-a-,2026,Estimating heterogeneous treatment effects with survival outcomes via a deep survival learner,2604.10398,,downloads/arXiv 2604.10398.pdf,markdown_docling/arXiv 2604.10398.md,tex_sources/extracted/2604.10398,1,4,downloaded,survival; hte; deep-survival
causal-epinets-precision-corrected-bounds-on-individual-treatment-effect,2026,Causal EpiNets: Precision-corrected Bounds on Individual Treatment Effects using Epistemic Neural Networks,2605.07065,,downloads/arXiv 2605.07065.pdf,markdown_docling/arXiv 2605.07065.md,tex_sources/extracted/2605.07065,1,3,downloaded,ite; uncertainty; epistemic-neural-networks
balanced-twins-causal-inference-on-time-series-with-hidden-confounding,2026,Balanced Twins: Causal Inference on Time Series with Hidden Confounding,2606.18969,,downloads/arXiv 2606.18969.pdf,markdown_docling/arXiv 2606.18969.md,tex_sources/extracted/2606.18969,2,6,downloaded,time-series; hidden-confounding; representation
