key,title,authors,year,date,venue,doi,arxiv_id,url,download_target,tags,inclusion,source,local_reference,retrieval_status,pdf_path,notes
perfect-match-a-simple-method-for-learning-representations-for-counterfa,Perfect Match: A Simple Method for Learning Representations For Counterfactual Inference With Neural Networks,Patrick Schwab; Lorenz Linhardt; Walter Karlen,2018,2018-10-01,arXiv,,1810.00656,https://arxiv.org/abs/1810.00656,1810.00656,ite; matching; representation; neural,Representation learning for counterfactual inference with neural matching.,arXiv API / curated query set,,downloaded,downloads/arXiv 1810.00656.pdf,
heterogeneous-treatment-effect-estimation-through-deep-learning,Heterogeneous Treatment Effect Estimation through Deep Learning,Ran Chen; Hanzhong Liu,2018,2018-10-25,arXiv,,1810.11010,https://arxiv.org/abs/1810.11010,1810.11010,hte; ite; neural,Direct heterogeneous treatment effect estimation with deep learning.,arXiv API / curated query set,,downloaded,downloads/arXiv 1810.11010.pdf,
orthogonal-statistical-learning,Orthogonal Statistical Learning,Dylan J. Foster; Vasilis Syrgkanis,2019,2019-01-25,arXiv,,1901.09036,https://arxiv.org/abs/1901.09036,1901.09036,orthogonal-learning; semiparametric; local-reference,Orthogonal statistical learning with machine learning nuisances.,arXiv API / curated query set,references/FS2023_docling.md,downloaded,downloads/arXiv 1901.09036.pdf,
time-series-deconfounder-estimating-treatment-effects-over-time-in-the-p,Time Series Deconfounder: Estimating Treatment Effects over Time in the Presence of Hidden Confounders,Ioana Bica; Ahmed M. Alaa; Mihaela van der Schaar,2019,2019-02-01,arXiv,,1902.00450,https://arxiv.org/abs/1902.00450,1902.00450,longitudinal; deconfounder; time-series; hidden-confounding,Deep latent-factor treatment-effect estimation over time.,arXiv API / curated query set,,downloaded,downloads/arXiv 1902.00450.pdf,
deep-generalized-method-of-moments-for-instrumental-variable-analysis,Deep Generalized Method of Moments for Instrumental Variable Analysis,Andrew Bennett; Nathan Kallus; Tobias Schnabel,2019,2019-05-29,arXiv,,1905.12495,https://arxiv.org/abs/1905.12495,1905.12495,iv; gmm; deepgmm,Deep GMM approach for instrumental-variable causal analysis.,arXiv API / curated query set,,downloaded,downloads/arXiv 1905.12495.pdf,
adapting-neural-networks-for-the-estimation-of-treatment-effects,Adapting Neural Networks for the Estimation of Treatment Effects,Claudia Shi; David M. Blei; Victor Veitch,2019,2019-06-05,arXiv,,1906.02120,https://arxiv.org/abs/1906.02120,1906.02120,ite; dragonnet; targeted-regularization,Dragonnet / targeted regularization for treatment effect estimation.,arXiv API / curated query set,references/Dragonnet2019_docling.md,downloaded,downloads/arXiv 1906.02120.pdf,
learning-overlapping-representations-for-the-estimation-of-individualize,Learning Overlapping Representations for the Estimation of Individualized Treatment Effects,Yao Zhang; Alexis Bellot; Mihaela van der Schaar,2020,2020-01-14,arXiv,,2001.04754,https://arxiv.org/abs/2001.04754,2001.04754,ite; overlap; representation,Representation learning focused on overlap for ITE estimation.,arXiv API / curated query set,,downloaded,downloads/arXiv 2001.04754.pdf,
treatment-effect-estimation-with-disentangled-latent-factors,Treatment effect estimation with disentangled latent factors,Weijia Zhang; Lin Liu; Jiuyong Li,2020,2020-01-29,arXiv,,2001.10652,https://arxiv.org/abs/2001.10652,2001.10652,ite; disentanglement; latent-factors,Disentangled latent factors for treatment-effect estimation.,arXiv API / curated query set,,downloaded,downloads/arXiv 2001.10652.pdf,
estimating-counterfactual-treatment-outcomes-over-time-through-adversari,Estimating Counterfactual Treatment Outcomes over Time Through Adversarially Balanced Representations,Ioana Bica; Ahmed M. Alaa; James Jordon; Mihaela van der Schaar,2020,2020-02-10,arXiv,,2002.04083,https://arxiv.org/abs/2002.04083,2002.04083,longitudinal; counterfactual-outcomes; adversarial; representation,Adversarially balanced representations for counterfactual outcomes over time.,arXiv API / curated query set,,downloaded,downloads/arXiv 2002.04083.pdf,
double-debiased-machine-learning-nonparametric-inference-with-continuous,Double Debiased Machine Learning Nonparametric Inference with Continuous Treatments,Kyle Colangelo; Ying-Ying Lee,2020,2020-04-06,arXiv,,2004.03036,https://arxiv.org/abs/2004.03036,2004.03036,continuous-treatment; dml; semiparametric; local-reference,Continuous-treatment inference with debiased machine learning.,arXiv API / curated query set,references/CL2026_docling.md,downloaded,downloads/arXiv 2004.03036.pdf,
estimating-individual-treatment-effects-through-causal-populations-ident,Estimating Individual Treatment Effects through Causal Populations Identification,Céline Beji; Michaël Bon; Florian Yger; Jamal Atif,2020,2020-04-10,arXiv,,2004.05013,https://arxiv.org/abs/2004.05013,2004.05013,ite; causal-populations,Causal-population identification approach to ITE estimation.,arXiv API / curated query set,,downloaded,downloads/arXiv 2004.05013.pdf,
on-deep-instrumental-variables-estimate,On Deep Instrumental Variables Estimate,Ruiqi Liu; Zuofeng Shang; Guang Cheng,2020,2020-04-30,arXiv,,2004.14954,https://arxiv.org/abs/2004.14954,2004.14954,iv; deepiv; theory,Analysis of deep instrumental-variable estimates.,arXiv API / curated query set,,downloaded,downloads/arXiv 2004.14954.pdf,
counterfactual-propagation-for-semi-supervised-individual-treatment-effe,Counterfactual Propagation for Semi-Supervised Individual Treatment Effect Estimation,,2020,2020-05-11,Lecture Notes in Computer Science,10.1007/978-3-030-67658-2_31,2005.05099,https://arxiv.org/abs/2005.05099,2005.05099,ite; semi-supervised; counterfactual,Semi-supervised counterfactual propagation for ITE estimation.,arXiv API / curated query set,,downloaded,downloads/[2020] - Counterfactual Propagation for Semi-Supervised Individual Treatment Effect Estimation.pdf,
hi-ci-deep-causal-inference-in-high-dimensions,Hi-CI: Deep Causal Inference in High Dimensions,Ankit Sharma; Garima Gupta; Ranjitha Prasad; Arnab Chatterjee; Lovekesh Vig; Gautam Shroff,2020,2020-08-22,arXiv,,2008.09858,https://arxiv.org/abs/2008.09858,2008.09858,ite; high-dimensional; deep-learning,High-dimensional deep causal inference method.,arXiv API / curated query set,,downloaded,downloads/arXiv 2008.09858.pdf,
estimating-individual-treatment-effects-with-time-varying-confounders,Estimating Individual Treatment Effects with Time-Varying Confounders,Ruoqi Liu; Changchang Yin; Ping Zhang,2020,2020-08-27,arXiv,,2008.13620,https://arxiv.org/abs/2008.13620,2008.13620,ite; longitudinal; time-varying-confounding,ITE estimation with time-varying confounders.,arXiv API / curated query set,,downloaded,downloads/arXiv 2008.13620.pdf,
causal-inference-of-general-treatment-effects-using-neural-networks-with,Causal Inference of General Treatment Effects using Neural Networks with A Diverging Number of Confounders,Xiaohong Chen; Ying Liu; Shujie Ma; Zheng Zhang,2020,2020-09-15,arXiv,,2009.07055,https://arxiv.org/abs/2009.07055,2009.07055,general-treatment-effects; neural-networks; high-dimensional; local-reference,General treatment effects with neural networks and many confounders.,arXiv API / curated query set,references/CLMZ2024_docling.md,downloaded,downloads/arXiv 2009.07055.pdf,
learning-deep-features-in-instrumental-variable-regression,Learning Deep Features in Instrumental Variable Regression,Liyuan Xu; Yutian Chen; Siddarth Srinivasan; Nando de Freitas; Arnaud Doucet; Arthur Gretton,2020,2020-10-14,arXiv,,2010.07154,https://arxiv.org/abs/2010.07154,2010.07154,iv; dfiv; representation,Deep feature learning for instrumental-variable regression.,arXiv API / curated query set,,downloaded,downloads/arXiv 2010.07154.pdf,
deep-learning-for-individual-heterogeneity,Deep Learning for Individual Heterogeneity,Max H. Farrell; Tengyuan Liang; Sanjog Misra,2020,2020-10-28,arXiv,10.47004/wp.cem.2021.2921,2010.14694,https://arxiv.org/abs/2010.14694,2010.14694,individual-heterogeneity; deep-inference; local-reference,Automatic inference framework for individual heterogeneity.,arXiv API / curated query set,references/FLM2023_docling.md; references/FLM2025_docling.md,downloaded,downloads/arXiv 2010.14694.pdf,
adapting-neural-networks-for-uplift-models,Adapting Neural Networks for Uplift Models,Belbahri Mouloud; Gandouet Olivier; Kazma Ghaith,2020,2020-10-30,arXiv,,2011.00041,https://arxiv.org/abs/2011.00041,2011.00041,uplift; neural; ite,Neural network adaptation for uplift modeling.,arXiv API / curated query set,,downloaded,downloads/arXiv 2011.00041.pdf,
vcnet-and-functional-targeted-regularization-for-learning-causal-effects,VCNet and Functional Targeted Regularization For Learning Causal Effects of Continuous Treatments,Lizhen Nie; Mao Ye; Qiang Liu; Dan Nicolae,2021,2021-03-14,arXiv,,2103.07861,https://arxiv.org/abs/2103.07861,2103.07861,continuous-treatment; vcnet; targeted-regularization,VCNet and functional targeted regularization for continuous treatment effects.,arXiv API / curated query set,,downloaded,downloads/arXiv 2103.07861.pdf,
automatic-debiased-machine-learning-via-riesz-regression,Automatic Debiased Machine Learning via Riesz Regression,Victor Chernozhukov; Whitney K. Newey; Victor Quintas-Martinez; Vasilis Syrgkanis,2021,2021-04-30,arXiv,,2104.14737,https://arxiv.org/abs/2104.14737,2104.14737,auto-dml; riesz; semiparametric; local-reference,Automatic debiasing via Riesz regression.,arXiv API / curated query set,references/IN_glr_docling.md,downloaded,downloads/arXiv 2104.14737.pdf,
a-twin-neural-model-for-uplift,A Twin Neural Model for Uplift,Mouloud Belbahri; Olivier Gandouet; Alejandro Murua; Vahid Partovi Nia,2021,2021-05-11,arXiv,,2105.05146,https://arxiv.org/abs/2105.05146,2105.05146,uplift; neural; ite,Twin-neural uplift model.,arXiv API / curated query set,,downloaded,downloads/arXiv 2105.05146.pdf,
graph-infomax-adversarial-learning-for-treatment-effect-estimation-with-,Graph Infomax Adversarial Learning for Treatment Effect Estimation with Networked Observational Data,Zhixuan Chu; Stephen L. Rathbun; Sheng Li,2021,2021-06-05,arXiv,10.1145/3447548.3467302,2106.02881,https://arxiv.org/abs/2106.02881,2106.02881,network; graph-neural; adversarial; ite,Graph infomax adversarial learning for networked treatment-effect estimation.,arXiv API / curated query set,,downloaded,downloads/arXiv 2106.02881.pdf,
riesznet-and-forestriesz-automatic-debiased-machine-learning-with-neural,RieszNet and ForestRiesz: Automatic Debiased Machine Learning with Neural Nets and Random Forests,Victor Chernozhukov; Whitney K. Newey; Victor Quintas-Martinez; Vasilis Syrgkanis,2021,2021-10-06,arXiv,,2110.03031,https://arxiv.org/abs/2110.03031,2110.03031,riesznet; auto-dml; neural-networks; local-reference,RieszNet automatic debiased ML with neural nets.,arXiv API / curated query set,references/RieszNet2022_docling.md,downloaded,downloads/arXiv 2110.03031.pdf,
a-primer-on-deep-learning-for-causal-inference,A Primer on Deep Learning for Causal Inference,Bernard Koch; Tim Sainburg; Pablo Geraldo; Song Jiang; Yizhou Sun; Jacob Gates Foster,2021,2021-10-09,arXiv,,2110.04442,https://arxiv.org/abs/2110.04442,2110.04442,survey; deep-learning; causal-inference,Primer/survey; included as a map of the field.,arXiv API / curated query set,,downloaded,downloads/arXiv 2110.04442.pdf,
survite-learning-heterogeneous-treatment-effects-from-time-to-event-data,SurvITE: Learning Heterogeneous Treatment Effects from Time-to-Event Data,Alicia Curth; Changhee Lee; Mihaela van der Schaar,2021,2021-10-26,arXiv,,2110.14001,https://arxiv.org/abs/2110.14001,2110.14001,survival; hte; time-to-event; neural,Heterogeneous treatment effects for survival outcomes.,arXiv API / curated query set,,downloaded,downloads/arXiv 2110.14001.pdf,
deep-learning-for-counterfactual-inference-and-treatment-effect-estimati,Deep Learning for Counterfactual Inference and Treatment Effect Estimation,,2022,2022-01-01,Chapman and Hall/CRC,10.1201/9781003028543-7,,https://doi.org/10.1201/9781003028543-7,10.1201/9781003028543-7,book-chapter; counterfactual-inference; treatment-effects,Book chapter found via Crossref; included for coverage.,Crossref API / curated query set,,missing,,
bites-balanced-individual-treatment-effect-for-survival-data,BITES: Balanced Individual Treatment Effect for Survival data,Stefan Schrod; Andreas Schäfer; Stefan Solbrig; Robert Lohmayer; Wolfram Gronwald; Peter J. Oefner; Tim Beißbarth; Rainer Spang; Helena U. Zacharias; Michael Altenbuchinger,2022,2022-01-05,arXiv,,2201.03448,https://arxiv.org/abs/2201.03448,2201.03448,survival; ite; representation,Balanced ITE estimation for survival data.,arXiv API / curated query set,,downloaded,downloads/arXiv 2201.03448.pdf,
individual-treatment-effect-estimation-through-controlled-neural-network,Individual Treatment Effect Estimation Through Controlled Neural Network Training in Two Stages,Naveen Nair; Karthik S. Gurumoorthy; Dinesh Mandalapu,2022,2022-01-21,arXiv,,2201.08559,https://arxiv.org/abs/2201.08559,2201.08559,ite; neural-training,Two-stage controlled neural network training for ITE.,arXiv API / curated query set,,downloaded,downloads/arXiv 2201.08559.pdf,
survcaus-representation-balancing-for-survival-causal-inference,SurvCaus : Representation Balancing for Survival Causal Inference,Ayoub Abraich; Agathe Guilloux; Blaise Hanczar,2022,2022-03-29,arXiv,,2203.15672,https://arxiv.org/abs/2203.15672,2203.15672,survival; representation; causal-inference,Representation balancing for survival causal inference.,arXiv API / curated query set,,downloaded,downloads/arXiv 2203.15672.pdf,
causal-transformer-for-estimating-counterfactual-outcomes,Causal Transformer for Estimating Counterfactual Outcomes,Valentyn Melnychuk; Dennis Frauen; Stefan Feuerriegel,2022,2022-04-14,arXiv,,2204.07258,https://arxiv.org/abs/2204.07258,2204.07258,longitudinal; transformer; counterfactual-outcomes,Transformer model for counterfactual outcome estimation.,arXiv API / curated query set,,downloaded,downloads/arXiv 2204.07258.pdf,
scalable-sensitivity-and-uncertainty-analysis-for-causal-effect-estimate,Scalable Sensitivity and Uncertainty Analysis for Causal-Effect Estimates of Continuous-Valued Interventions,Andrew Jesson; Alyson Douglas; Peter Manshausen; Maëlys Solal; Nicolai Meinshausen; Philip Stier; Yarin Gal; Uri Shalit,2022,2022-04-21,arXiv,,2204.10022,https://arxiv.org/abs/2204.10022,2204.10022,continuous-treatment; uncertainty; sensitivity,Sensitivity and uncertainty analysis for continuous interventions.,arXiv API / curated query set,,downloaded,downloads/arXiv 2204.10022.pdf,
adversarial-estimators,Adversarial Estimators,Jonas Metzger,2022,2022-04-22,arXiv,,2204.10495,https://arxiv.org/abs/2204.10495,2204.10495,adversarial; semiparametric; local-reference,Adversarial estimation for semiparametric targets.,arXiv API / curated query set,references/Metzger2022_docling.md,downloaded,downloads/arXiv 2204.10495.pdf,
learning-disentangled-representations-for-counterfactual-regression-via-,Learning Disentangled Representations for Counterfactual Regression via Mutual Information Minimization,Mingyuan Cheng; Xinru Liao; Quan Liu; Bin Ma; Jian Xu; Bo Zheng,2022,2022-06-02,arXiv,,2206.01022,https://arxiv.org/abs/2206.01022,2206.01022,counterfactual-regression; disentanglement; representation,Mutual-information-minimizing disentangled representations for counterfactual regression.,arXiv API / curated query set,,downloaded,downloads/arXiv 2206.01022.pdf,
estimating-counterfactual-treatment-outcomes-over-time-in-complex-multia,Estimating counterfactual treatment outcomes over time in complex multiagent scenarios,Keisuke Fujii; Koh Takeuchi; Atsushi Kuribayashi; Naoya Takeishi; Yoshinobu Kawahara; Kazuya Takeda,2022,2022-06-04,arXiv,,2206.01900,https://arxiv.org/abs/2206.01900,2206.01900,longitudinal; multiagent; counterfactual-outcomes,Counterfactual treatment outcomes over time in multiagent scenarios.,arXiv API / curated query set,,downloaded,downloads/arXiv 2206.01900.pdf,
interpretable-deep-causal-learning-for-moderation-effects,Interpretable Deep Causal Learning for Moderation Effects,Alberto Caron; Gianluca Baio; Ioanna Manolopoulou,2022,2022-06-21,arXiv,,2206.10261,https://arxiv.org/abs/2206.10261,2206.10261,moderation-effects; interpretable; neural,Interpretable deep causal learning for moderation effects.,arXiv API / curated query set,,downloaded,downloads/arXiv 2206.10261.pdf,
learning-causal-effects-on-hypergraphs,Learning Causal Effects on Hypergraphs,Jing Ma; Mengting Wan; Longqi Yang; Jundong Li; Brent Hecht; Jaime Teevan,2022,2022-07-07,arXiv,,2207.04049,https://arxiv.org/abs/2207.04049,2207.04049,hypergraph; network; causal-effects,Causal effect learning on hypergraphs.,arXiv API / curated query set,,downloaded,downloads/arXiv 2207.04049.pdf,
descn-deep-entire-space-cross-networks-for-individual-treatment-effect-e,DESCN: Deep Entire Space Cross Networks for Individual Treatment Effect Estimation,Kailiang Zhong; Fengtong Xiao; Yan Ren; Yaorong Liang; Wenqing Yao; Xiaofeng Yang; Ling Cen,2022,2022-07-19,arXiv,,2207.09920,https://arxiv.org/abs/2207.09920,2207.09920,ite; descn; cross-network,Deep entire-space cross network for ITE.,arXiv API / curated query set,,downloaded,downloads/arXiv 2207.09920.pdf,
variational-temporal-deconfounder-for-individualized-treatment-effect-es,Variational Temporal Deconfounder for Individualized Treatment Effect Estimation from Longitudinal Observational Data,Zheng Feng; Mattia Prosperi; Jiang Bian,2022,2022-07-23,arXiv,,2207.11251,https://arxiv.org/abs/2207.11251,2207.11251,longitudinal; deconfounder; variational; ite,Variational temporal deconfounder for longitudinal ITE.,arXiv API / curated query set,,downloaded,downloads/arXiv 2207.11251.pdf,
review-of-deep-learning-methods-for-individual-treatment-effect-estimati,Review of Deep Learning Methods for Individual Treatment Effect Estimation with Automatic Hyperparameter Optimization,,2022,2022-08-01,TechRxiv,10.36227/techrxiv.20448768,,https://doi.org/10.36227/techrxiv.20448768,10.36227/techrxiv.20448768,review; ite; hyperparameter-optimization,Review paper found via Crossref.,Crossref API / curated query set,,missing,,
estimating-individual-treatment-effects-under-unobserved-confounding-usi,Estimating individual treatment effects under unobserved confounding using binary instruments,Dennis Frauen; Stefan Feuerriegel,2022,2022-08-17,arXiv,,2208.08544,https://arxiv.org/abs/2208.08544,2208.08544,iv; ite; unobserved-confounding,ITE estimation under unobserved confounding using binary instruments.,arXiv API / curated query set,,downloaded,downloads/arXiv 2208.08544.pdf,
dr-vidal-doubly-robust-variational-information-theoretic-deep-adversaria,DR-VIDAL -- Doubly Robust Variational Information-theoretic Deep Adversarial Learning for Counterfactual Prediction and Treatment Effect Estimation on Real World Data,Shantanu Ghosh; Zheng Feng; Jiang Bian; Kevin Butler; Mattia Prosperi,2023,2023-03-07,arXiv,,2303.04201,https://arxiv.org/abs/2303.04201,2303.04201,ite; doubly-robust; variational; adversarial,Doubly robust variational adversarial model for counterfactual prediction and treatment effects.,arXiv API / curated query set,,downloaded,downloads/arXiv 2303.04201.pdf,
dynamic-inter-treatment-information-sharing-for-individualized-treatment,Dynamic Inter-treatment Information Sharing for Individualized Treatment Effects Estimation,Vinod Kumar Chauhan; Jiandong Zhou; Ghadeer Ghosheh; Soheila Molaei; David A. Clifton,2023,2023-05-25,arXiv,,2305.15984,https://arxiv.org/abs/2305.15984,2305.15984,ite; multiple-treatments; information-sharing,Dynamic inter-treatment information sharing for ITE.,arXiv API / curated query set,,downloaded,downloads/arXiv 2305.15984.pdf,
reliable-off-policy-learning-for-dosage-combinations,Reliable Off-Policy Learning for Dosage Combinations,Jonas Schweisthal; Dennis Frauen; Valentyn Melnychuk; Stefan Feuerriegel,2023,2023-05-31,arXiv,,2305.19742,https://arxiv.org/abs/2305.19742,2305.19742,dosage; off-policy; continuous-treatment,Reliable off-policy learning for dosage combinations.,arXiv API / curated query set,,downloaded,downloads/arXiv 2305.19742.pdf,
assisting-clinical-decisions-for-scarcely-available-treatment-via-disent,Assisting Clinical Decisions for Scarcely Available Treatment via Disentangled Latent Representation,Bing Xue; Ahmed Sameh Said; Ziqi Xu; Hanyang Liu; Neel Shah; Hanqing Yang; Philip Payne; Chenyang Lu,2023,2023-07-06,arXiv,,2307.03315,https://arxiv.org/abs/2307.03315,2307.03315,ite; clinical; scarce-treatment; disentanglement,Clinical scarce-treatment method using disentangled latent representations.,arXiv API / curated query set,,downloaded,downloads/arXiv 2307.03315.pdf,
estimating-treatment-effects-under-heterogeneous-interference,Estimating Treatment Effects Under Heterogeneous Interference,Xiaofeng Lin; Guoxi Zhang; Xiaotian Lu; Han Bao; Koh Takeuchi; Hisashi Kashima,2023,2023-09-25,arXiv,,2309.13884,https://arxiv.org/abs/2309.13884,2309.13884,interference; network; treatment-effects,Treatment effects under heterogeneous interference.,arXiv API / curated query set,,downloaded,downloads/arXiv 2309.13884.pdf,
causal-dynamic-variational-autoencoder-for-counterfactual-regression-in-,Causal Dynamic Variational Autoencoder for Counterfactual Regression in Longitudinal Data,Mouad El Bouchattaoui; Myriam Tami; Benoit Lepetit; Paul-Henry Cournède,2023,2023-10-16,arXiv,,2310.10559,https://arxiv.org/abs/2310.10559,2310.10559,longitudinal; vae; counterfactual-regression,Dynamic VAE for longitudinal counterfactual regression.,arXiv API / curated query set,,downloaded,downloads/arXiv 2310.10559.pdf,
uplift-modeling-based-on-graph-neural-network-combined-with-causal-knowl,Uplift Modeling based on Graph Neural Network Combined with Causal Knowledge,Haowen Wang; Xinyan Ye; Yangze Zhou; Zhiyi Zhang; Longhan Zhang; Jing Jiang,2023,2023-11-14,arXiv,,2311.08434,https://arxiv.org/abs/2311.08434,2311.08434,uplift; graph-neural; causal-knowledge,GNN uplift modeling with causal knowledge.,arXiv API / curated query set,,downloaded,downloads/arXiv 2311.08434.pdf,
adversarially-balanced-representation-for-continuous-treatment-effect-es,Adversarially Balanced Representation for Continuous Treatment Effect Estimation,Amirreza Kazemi; Martin Ester,2023,2023-12-17,arXiv,,2312.10570,https://arxiv.org/abs/2312.10570,2312.10570,continuous-treatment; adversarial; representation,Adversarial balanced representation for continuous treatment effects.,arXiv API / curated query set,,downloaded,downloads/arXiv 2312.10570.pdf,
treatment-aware-hyperbolic-representation-learning-for-causal-effect-est,Treatment-Aware Hyperbolic Representation Learning for Causal Effect Estimation with Social Networks,Ziqiang Cui; Xing Tang; Yang Qiao; Bowei He; Liang Chen; Xiuqiang He; Chen Ma,2024,2024-01-12,arXiv,,2401.06557,https://arxiv.org/abs/2401.06557,2401.06557,social-network; hyperbolic; representation; treatment-effects,Treatment-aware hyperbolic representations for social-network causal effects.,arXiv API / curated query set,,downloaded,downloads/arXiv 2401.06557.pdf,
causal-graph-ode-continuous-treatment-effect-modeling-in-multi-agent-dyn,Causal Graph ODE: Continuous Treatment Effect Modeling in Multi-agent Dynamical Systems,Zijie Huang; Jeehyun Hwang; Junkai Zhang; Jinwoo Baik; Weitong Zhang; Dominik Wodarz; Yizhou Sun; Quanquan Gu; Wei Wang,2024,2024-02-29,arXiv,,2403.00178,https://arxiv.org/abs/2403.00178,2403.00178,continuous-treatment; graph-ode; multiagent,Graph ODE model for continuous treatment effects in multiagent dynamics.,arXiv API / curated query set,,downloaded,downloads/arXiv 2403.00178.pdf,
regularized-deepiv-with-model-selection,Regularized DeepIV with Model Selection,Zihao Li; Hui Lan; Vasilis Syrgkanis; Mengdi Wang; Masatoshi Uehara,2024,2024-03-07,arXiv,,2403.04236,https://arxiv.org/abs/2403.04236,2403.04236,iv; deepiv; model-selection,Regularized DeepIV with model selection.,arXiv API / curated query set,,downloaded,downloads/arXiv 2403.04236.pdf,
graph-neural-network-with-two-uplift-estimators-for-label-scarcity-indiv,Graph Neural Network with Two Uplift Estimators for Label-Scarcity Individual Uplift Modeling,Dingyuan Zhu; Daixin Wang; Zhiqiang Zhang; Kun Kuang; Yan Zhang; Yulin Kang; Jun Zhou,2024,2024-03-11,arXiv,,2403.06489,https://arxiv.org/abs/2403.06489,2403.06489,uplift; graph-neural; label-scarcity,GNN uplift estimators for label scarcity.,arXiv API / curated query set,,downloaded,downloads/arXiv 2403.06489.pdf,
